MOT CLe;Description;cat3;cat1;cat2;CATEGORISATION;Service Libelle d'affichage / Impactant;Causalite;Tag+E:ED:IJ30F:IC:IB:I;SUPPORT;PRIORISATION;CAS;Autonomie;DATE CREATION;PM;Msg spe;Lien;POPUP ajout;Mess_axis;Impacté;Categorisation Service impacte ;KM;GROUPE EXPERT; 
SCO NCR-FR : Encaissement / rendu monnaie;Le client a insere ses pieces/billet, mais machine KO ensuite (pas de rendu monnaie); ;Caisse libre service ;Monnayeur;Caisse libre service \ Monnayeur;SCO NCR-FR;08 - Matériel défectueux;SCO NCR-FR : Encaissement / rendu monnaie;" Si message erreur se referer aux documentations
CI-10B_Code_Erreur.pdf
CI-10C_Code_Erreur.pdf

Sinon, collecter les logs
Transferer les logs & etats au SIC N2 FO | SI ESC : Analyser les logs mis à disposition

=> Si analyse KO, escalader vers NCR MATERIEL GLORY FR IT EDITEUR N3 SCO NCR MATERIEL ODM";P3;SYM1075; ;23/02/2023; ; ; ; ; ;SCO NCR-FR;Caisse libre service \ Monnayeur;; ; 
SCO NCR-FR : Encaissement / rendu monnaie;SCO NCR : Rendu monnaie OK, mais caisse restee en standby ensuite;Poste assistant;Encaissement;SCO;Caisse libre service \ Monnayeur;SCO NCR-FR;01 - Défaillance applicative;SCO NCR-FR : Encaissement / rendu monnaie;" CI-10:
> Retirer le(s) billet(s) restant en zone rendu monnaie

Paystation:
> Collecter les logs du jour concernee
> Transferer les logs au SIC N2 FO

 | SI ESC : Analyser les logs mis à disposition

=> Si analyse KO, escalader vers NCR niveau 3 logiciel

 FR IT EDITEUR N3 SCO NCR LOGICIEL EXT";P3;SYM1076; ;23/02/2023; ; ;http://sym-90065/encaissement/PRODIM/?q=26731835; ; ;SCO NCR-FR;Caisse libre service \ Monnayeur;26731835; ; 
SCO NCR-FR : Encaissement / rendu monnaie;SCO NCR : Lenteur dans le process (ex : lors du rendu de ma monnaie, lenteur constatee);Autre (logiciel);Encaissement;SCO;Caisse libre service \ Monnayeur;SCO NCR-FR;01 - Défaillance applicative;SCO NCR-FR : Encaissement / rendu monnaie;" Paystation:
> Verifier les niveaux et effectuer prelèvement si les niveaux hauts sont atteints.

CI-Server:
> Verifier les niveaux sur CI-Server (si pas possible depuis Paystation) | SI ESC : Analyser les logs mis à disposition

=> Si analyse KO, escalader vers NCR niveau 3 logiciel FR IT EDITEUR N3 SCO NCR LOGICIEL EXT";P3;SYM1077; ;23/02/2023; ; ;http://sym-90065/encaissement/PRODIM/?q=26731835; ; ;SCO NCR-FR;Caisse libre service \ Monnayeur;26731835; ; 
SCO NCR-FR : Ecart financier;SCO NCR : Ecart de Chiffre d'Affaire et les compteurs SCO;Autre (logiciel);Encaissement;SCO;Caisse libre service \ Monnayeur;SCO NCR-FR;01 - Défaillance applicative;SCO NCR-FR : Ecart financier; Generer un DIAG, recuperer les logs encaissement et escalader vers N3 ;P3;SYM1078; ;23/02/2023; ; ;http://sym-90065/encaissement/PRODIM/?q=26731835; ; ;SCO NCR-FR;Caisse libre service \ Monnayeur \ Erreur prelevement;26731835; ; 
SCO NCR-FR : Message d'erreur;erreur du distributeur de billet / piece; ;Caisse libre service ;Monnayeur;Caisse libre service \ Monnayeur;SCO NCR-FR;08 - Matériel défectueux;SCO NCR-FR : Message d'erreur;" Demander à l'utilisateur de faire un arrêt / marche complet des peripheriques espèces : boutons en façade sur le module pièce et module billet et redemarrer tout le système

Generer un diag ";P3;SYM1079; ;23/02/2023; ; ; ; ; ;SCO NCR-FR;Caisse libre service \ Monnayeur;; ; 
SCO NCR-FR : Message d'erreur;Veuillez patienter pendant la connexion avec le monnayeur; ;Caisse libre service ;Monnayeur;Caisse libre service \ Monnayeur;SCO NCR-FR;08 - Matériel défectueux;SCO NCR-FR : Message d'erreur;" > Demander à l'utilisateur de faire un arrêt / marche complet des peripheriques espèces : boutons en façade sur le module pièce et module billet et redemarrer tout le système

> Ping de la caisse pour voir si elle repond
> Verifier le pare-feu 
> Verifier l'antivirus (quarantaine ...)

Si malgre les contrôles le pb persiste, generer un diag et escalader au N3 NCR MATERIEL GLORY ";P3;SYM1080; ;23/02/2023; ; ; ; ; ;SCO NCR-FR;Caisse libre service \ Monnayeur;; ; 
SCO NCR-FR : Message d'erreur;erreur statut monnayeur; ;Caisse libre service ;Monnayeur;Caisse libre service \ Monnayeur;SCO NCR-FR;08 - Matériel défectueux;SCO NCR-FR : Message d'erreur;" Demander à l'utilisateur de faire un arrêt / marche complet des peripheriques espèces : boutons en façade sur le module pièce et module billet et redemarrer tout le système

Generer un diag ";P3;SYM1081; ;23/02/2023; ; ; ; ; ;SCO NCR-FR;Caisse libre service \ Monnayeur;; ; 
SCO NCR-FR : Message d'erreur;Le periph est offline , code erreur 18.0.0.261.99; ;Caisse libre service ;Monnayeur;Caisse libre service \ Monnayeur;SCO NCR-FR;08 - Matériel défectueux;SCO NCR-FR : Message d'erreur;" Demander à l'utilisateur de faire un arrêt / marche complet des peripheriques espèces : boutons en façade sur le module pièce et module billet et redemarrer tout le système

Faire un ping de l'adresse IP du Glory. Si KO, escalader ";P3;SYM1082; ;23/02/2023; ; ; ; ; ;SCO NCR-FR;Caisse libre service \ Monnayeur;; ; 
SCO NCR-FR : Message d'erreur;"Code d'erreur : 5-0-0--99-0.

""Appareil hors ligne, verifiez les connexions et/ou le journal des evenements : Glory CI-10 Recycler""
"; ;Caisse libre service ;Monnayeur;Caisse libre service \ Monnayeur;SCO NCR-FR;08 - Matériel défectueux;SCO NCR-FR : Message d'erreur;" > Demander à l'utilisateur de faire un arrêt / marche complet des peripheriques espèces : boutons en façade sur le module pièce et module billet et redemarrer tout le système.
> Demander à l'utilisateur de verifier les cables (sont-ils bien branches)
> Demander au magasin de nettoyer les modules Glory, eventuellement un corps etarnger present
Et
Faire un ping de l'adresse IP du Glory. Si KO, escalader ";P3;SYM1083; ;23/02/2023; ; ;http://sym-90065/encaissement/PRODIM/?q=26731835; ; ;SCO NCR-FR;Caisse libre service \ Monnayeur;26731835; ; 
SCO NCR-FR : Message d'erreur;SCO NCR : recuperation des articles veuillez patienter. ;Autre (logiciel);Encaissement;SCO;Caisse libre service \ Monnayeur;SCO NCR-FR;01 - Défaillance applicative;SCO NCR-FR : Message d'erreur;" Demander à l'utilisateur de scanner à nouveau le code à barres de fin de courses et ressayer | SI ESC : Verifier la presence du fichier SCANIN sur Carine
- si fichier absent diagnostiquer le problème entre SCANEO et Carine
- si fichier present Generer un DIAG

Escalader au N3 FR IT UMA N3 Encaissement";P3;SYM1084; ;23/02/2023; ; ;http://sym-90065/encaissement/PRODIM/?q=26731835; ; ;SCO NCR-FR;Caisse libre service \ Monnayeur;26731835; ; 
SCO NCR-FR : BRINKS;"SCO NCR : La brinks n'arrive pas a vider les billets car ils ont recu un identifiant qui ne fonctionne pas. ""code obsolète""";Autre (logiciel);Encaissement;SCO;Caisse libre service \ Monnayeur;SCO NCR-FR;01 - Défaillance applicative;SCO NCR-FR : BRINKS;" Regression corrigee
> Verifier que la version logiciel de la SCO est superieure à 2.1.8.120 | SI ESC : Si la version est 2.1.8.120, verifier que le code Brinks est bien sur Profil 5 ou 7 sur Carine
Si la version est 2.1.8.118, verifier que le code Brinks est bien sur Profil 5
Si toujours problème Generer un DIAG et escalader vers NCR niveau 3 logiciel
(ajouter le lien filexchange dans le commentaire SANS attacher de PJ au ticket) FR IT EDITEUR N3 SCO NCR LOGICIEL EXT";P3;SYM1085; ;23/02/2023; ; ;http://sym-90065/encaissement/PRODIM/?q=26731835; ; ;SCO NCR-FR;Caisse libre service \ Monnayeur;26731835; ; 
SCO NCR-FR : BRINKS;SCO NCR : Impossible d'effectuer les prelèvements Billets sur les SCO;Autre (logiciel);Encaissement;SCO;Caisse libre service \ Monnayeur;SCO NCR-FR;01 - Défaillance applicative;SCO NCR-FR : BRINKS;" Regression corrigee
> Verifier que la version logiciel de la SCO est superieure à 2.1.8.120 | SI ESC : Si la version est 2.1.8.120, verifier que le code Brinks est bien sur Profil 5 ou 7 sur Carine
Si la version est 2.1.8.118, verifier que le code Brinks est bien sur Profil 5
Si toujours problème Generer un DIAG et escalader vers NCR niveau 3 logiciel
(ajouter le lien filexchange dans le commentaire SANS attacher de PJ au ticket) FR IT EDITEUR N3 SCO NCR LOGICIEL EXT";P3;SYM1086; ;23/02/2023; ; ;http://sym-90065/encaissement/PRODIM/?q=26731835; ; ;SCO NCR-FR;Caisse libre service \ Monnayeur;26731835; ; 
SCO NCR-FR : Problèmes techniques (installations);SCO NCR : CARINE - Mot de passe caissière incorrect sur certaines SCO;Autre (logiciel);Encaissement;SCO;Caisse libre service \ Monnayeur;SCO NCR-FR;01 - Défaillance applicative;SCO NCR-FR : Problèmes techniques (installations);" Solution appliquee 
Re Validation du mot de passe des caissières concernees sur Carine
Regression corrigee ";P3;SYM1087; ;23/02/2023; ; ;http://sym-90065/encaissement/PRODIM/?q=26731835; ; ;SCO NCR-FR;Caisse libre service \ Monnayeur;26731835; ; 
SCO NCR-FR : Problèmes techniques (installations);SCO NCR : CARINE - Configuration terminale non correcte empechant ouverture de la caisse (non chargement de la caisse);Autre (logiciel);Encaissement;SCO;Caisse libre service \ Monnayeur;SCO NCR-FR;01 - Défaillance applicative;SCO NCR-FR : Problèmes techniques (installations);" Solution appliquee
Verification des configs terminales et modifications / copie si besoin + le programme terminal associe à la caisse ";P3;SYM1088; ;23/02/2023; ; ;http://sym-90065/encaissement/PRODIM/?q=26731835; ; ;SCO NCR-FR;Caisse libre service \ Monnayeur;26731835; ; 
SCO NCR-FR : Problèmes techniques (installations);"SCO NCR : FIDELITE - Après sous total, impossible de valider le message ""avez-vous une carte fid ou non """;Autre (logiciel);Encaissement;SCO;Caisse libre service \ Monnayeur;SCO NCR-FR;01 - Défaillance applicative;SCO NCR-FR : Problèmes techniques (installations);" Solution appliquee
Pb parametrage ""dispositif des devises"" ==> manque n° de devise et libelle EUR indique
Verifications faites sur l'ensemble des magasins
Regression corrigee ";P3;SYM1089; ;23/02/2023; ; ;http://sym-90065/encaissement/PRODIM/?q=26731835; ; ;SCO NCR-FR;Caisse libre service \ Monnayeur;26731835; ; 
SCO NCR-FR : Problèmes techniques (installations);SCO NCR : Le client ne peut pas utiliser sa cagnotte;Autre (logiciel);Encaissement;SCO;Caisse libre service \ Monnayeur;SCO NCR-FR;01 - Défaillance applicative;SCO NCR-FR : Problèmes techniques (installations); Inviter le client à payer avec sa cagnotte sur une caisse standard | SI ESC : Verifier la cagnotte du client sur le STAC. Si toujours problème Generer un DIAG et escalader vers NCR niveau 3 logiciel (ajouter le lien filexchange dans le commentaire SANS attacher de PJ au ticket) FR IT EDITEUR N3 SCO NCR LOGICIEL EXT;P3;SYM1090; ;23/02/2023; ; ;http://sym-90065/encaissement/PRODIM/?q=26731835; ; ;SCO NCR-FR;Caisse libre service \ Monnayeur;26731835; ; 
SCO NCR-FR : Problèmes techniques (installations);SCO NCR :  Le programme de caisse ne se charge pas (TSNT);Autre (logiciel);Encaissement;SCO;Caisse libre service \ Monnayeur;SCO NCR-FR;01 - Défaillance applicative;SCO NCR-FR : Problèmes techniques (installations); Escalader vers le niveau 2 | SI ESC : Verifier le comportement du programme Terminal Services au demarrage. Si toujours problème Generer un DIAG et escalader au N3 FR IT UMA N3 Encaissement;P3;SYM1091; ;23/02/2023; ; ;http://sym-90065/encaissement/PRODIM/?q=26731835; ; ;SCO NCR-FR;Caisse libre service \ Monnayeur;26731835; ; 
SCO NCR-FR : Problèmes techniques (installations);SCO NCR : Les articles en codes courts (legume, fruits, pain…) ne sont pas reconnus;Autre (logiciel);Encaissement;SCO;Caisse libre service \ Monnayeur;SCO NCR-FR;01 - Défaillance applicative;SCO NCR-FR : Problèmes techniques (installations);" Solution appliquee
Mise à jour de la base des codes courts sur les SCO
Regression corrigee

Si ko après application de la procedure, generer un diag ";P3;SYM1092; ;23/02/2023; ; ;http://sym-90065/encaissement/PRODIM/?q=26731835; ; ;SCO NCR-FR;Caisse libre service \ Monnayeur;26731835; ; 
SCO NCR-FR : Problèmes techniques (installations);SCO NCR : Poids des articles sur la balance non controles (ex : 1 article scanne et 4 poses);Autre (logiciel);Encaissement;SCO;Caisse libre service \ Monnayeur;SCO NCR-FR;01 - Défaillance applicative;SCO NCR-FR : Problèmes techniques (installations);" Solution appliquee
Mise à jour de la base de la base poids/prix sur les SCO

Si ko après application de la procedure, generer un diag ";P3;SYM1093; ;23/02/2023; ; ;http://sym-90065/encaissement/PRODIM/?q=26731835; ; ;SCO NCR-FR;Caisse libre service \ Monnayeur;26731835; ; 
SCO NCR-FR : Problèmes techniques (installations);SCO NCR : TPE - Le TPE Lane5000 ne se met pas a jour (serveur non joignable);Autre (logiciel);Encaissement;SCO;Caisse libre service \ Monnayeur;SCO NCR-FR;01 - Défaillance applicative;SCO NCR-FR : Problèmes techniques (installations);" Solution appliquee
Problèmes de raccordement au reseau (miniswitch)
Si Ko, refaire la procedure d'initialisation du TPE
Si tous les TPE sont concernes, escalader aux equipes monetique ";P3;SYM1094; ;23/02/2023; ; ;http://sym-90065/encaissement/PRODIM/?q=26731835; ; ;SCO NCR-FR;Caisse libre service \ Monnayeur;26731835; ; 
SCO NCR-FR : Problèmes techniques (installations);SCO NCR : SCO - Carte IO HS;Autre (logiciel);Encaissement;SCO;Caisse libre service \ Monnayeur;SCO NCR-FR;01 - Défaillance applicative;SCO NCR-FR : Problèmes techniques (installations);" Solution appliquee
Remplacer la carte HS 
> Escalader à NCR ";P3;SYM1095; ;23/02/2023; ; ;http://sym-90065/encaissement/PRODIM/?q=26731835; ; ;SCO NCR-FR;Caisse libre service \ Monnayeur;26731835; ; 
SCO NCR-FR : Mise à jour version SCO;SCO NCR : La caisse n'a la bonne version de l'application;Autre (logiciel);Encaissement;SCO;Caisse libre service \ Monnayeur;SCO NCR-FR;01 - Défaillance applicative;SCO NCR-FR : Gestion des versions;Envoyer le CARE dans la banette du projet NCR pour demander la MAJ du SCO : FR PROJET CSS N3 SCO NCR;P3;SYM1096; ;23/02/2023; ; ;http://sym-90065/encaissement/PRODIM/?q=26731835; ; ;SCO NCR-FR;Caisse libre service \ Monnayeur;26731835; ; 
SCO NCR : 24/24;SCO NCR : mode 24/24;Autre (logiciel);Encaissement;SCO;Caisse libre service \ Caisse deconnecte \ Caisse en autonome;SCO NCR-FR;01 - Défaillance applicative;SCO NCR : 24/24;Desactivation via le menu + reboot = OK;P4;SYM1097; ;16/03/2023; ; ;http://sym-90065/encaissement/PRODIM/?q=26731835; ; ;SCO NCR-FR;Caisse libre service \ Caisse deconnecte \ Caisse en autonome;26731835; ; 
SCO : Erreur Interface numérique;Periphérique est Offline. (code erreur : 18-0-0-261--99);NCR;Materiel;SCO;Materiel \ SCO \ NCR;Materiel_SCO-FR;08 - Matériel défectueux;SCO : Erreur Interface numérique;"La carte IO est débranchée; il faut passer un ODM";P3;SYM1098; ;25/03/2024; ; ; ; ; ;MATERIEL_SCO_NCR-FR;Materiel \ SCO \ NCR;; ; 
SCO DIEBOLD - Vérifier le bouton Pour Imprimer vos tickets;SCO DIEBOLD - Vérifier le bouton Pour Imprimer vos tickets;Ticket de caisse;Caisse libre service;Impression;Caisse libre service \ Impression \ Ticket de caisse;SCO DIEBOLD-FR;01 - Défaillance applicative; ;Support fiche KM correspondante. Vérification des points : Problème réseau caiseau et Voyant SLIP allumé;P3;SYM1099; ;04/07/2024; ; ; ; ; ;SCO DIEBOLD-FR;Caisse libre service \ Impression \ Ticket de caisse;46275233; ; 
"SCO DIEBOLD - Démarrage d""une caisse en mode SCO, SCA ou SCO + SCA";"SCO DIEBOLD - Démarrage d""une caisse en mode SCO, SCA ou SCO + SCA";Parametrage;Caisse libre service; ;Caisse libre service \ Parametrage;SCO DIEBOLD-FR;01 - Défaillance applicative; ;Support fiche KM correspondante.;P3;SYM1100; ;04/07/2024; ; ; ; ; ;SCO DIEBOLD-FR;Caisse libre service \ Parametrage;44441655; ; 
SCO DIEBOLD - Mise à jour des appels prix depuis le poste assistant;SCO DIEBOLD - Mise à jour des appels prix depuis le poste assistant;Parametrage;Caisse libre service; ;Caisse libre service \ Parametrage;SCO DIEBOLD-FR;01 - Défaillance applicative; ;Support fiche KM correspondante.;P3;SYM1101; ;04/07/2024; ; ; ; ; ;SCO DIEBOLD-FR;Caisse libre service \ Parametrage;42528594; ; 
SCO DIEBOLD - Tous les jours le lancement automatique des SCO DIEBOLD ne se fait pas;SCO DIEBOLD - Tous les jours le lancement automatique des SCO DIEBOLD ne se fait pas;Parametrage;Caisse libre service; ;Caisse libre service \ Parametrage;SCO DIEBOLD-FR;01 - Défaillance applicative; ;Support fiche KM correspondante.;P3;SYM1102; ;04/07/2024; ; ; ; ; ;SCO DIEBOLD-FR;Caisse libre service \ Parametrage;28686611; ; 
SCO DIEBOLD - Ecran tactile décalé;SCO DIEBOLD - Ecran tactile décalé;Parametrage;Caisse libre service; ;Caisse libre service \ Parametrage;SCO DIEBOLD-FR;01 - Défaillance applicative; ;Support fiche KM correspondante.;P3;SYM1103; ;04/07/2024; ; ; ; ; ;SCO DIEBOLD-FR;Caisse libre service \ Parametrage;28674806; ; 
SCO DIEBOLD - Les caisses valident les articles alors qu'ils ne sont pas posés sur la balance;SCO DIEBOLD - Les caisses valident les articles alors qu'ils ne sont pas posés sur la balance;Parametrage;Caisse libre service; ;Caisse libre service \ Parametrage;SCO DIEBOLD-FR;01 - Défaillance applicative; ;Support fiche KM correspondante.;P3;SYM1104; ;04/07/2024; ; ; ; ; ;SCO DIEBOLD-FR;Caisse libre service \ Parametrage;25452515; ; 
SCO DIEBOLD - Demande de paramétrage des clés dallas;SCO DIEBOLD - Demande de paramétrage des clés dallas;Parametrage;Caisse libre service; ;Caisse libre service \ Parametrage;SCO DIEBOLD-FR;01 - Défaillance applicative; ;Support fiche KM correspondante.;P3;SYM1105; ;04/07/2024; ; ; ; ; ;SCO DIEBOLD-FR;Caisse libre service \ Parametrage;23119649; ; 
SCO DIEBOLD - Poste Assistant se verrouille automatiquement;SCO DIEBOLD - Poste Assistant se verrouille automatiquement;Parametrage;Caisse libre service; ;Caisse libre service \ Parametrage;SCO DIEBOLD-FR;01 - Défaillance applicative; ;Support fiche KM correspondante.;P3;SYM1106; ;04/07/2024; ; ; ; ; ;SCO DIEBOLD-FR;Caisse libre service \ Parametrage;21688648; ; 
SCO DIEBOLD -Mise à jour d une zone CLS (poste assistant + caisses CLS/SCANLIB);SCO DIEBOLD -Mise à jour d une zone CLS (poste assistant + caisses CLS/SCANLIB);Parametrage;Caisse libre service; ;Caisse libre service \ Parametrage;SCO DIEBOLD-FR;01 - Défaillance applicative; ;Support fiche KM correspondante.;P3;SYM1107; ;04/07/2024; ; ; ; ; ;SCO DIEBOLD-FR;Caisse libre service \ Parametrage;21412329; ; 
SCO DIEBOLD - Paramétrage affichage CLS;SCO DIEBOLD - Paramétrage affichage CLS;Parametrage;Caisse libre service; ;Caisse libre service \ Parametrage;SCO DIEBOLD-FR;01 - Défaillance applicative; ;Support fiche KM correspondante.;P3;SYM1108; ;04/07/2024; ; ; ; ; ;SCO DIEBOLD-FR;Caisse libre service \ Parametrage;21369044; ; 
SCO DIEBOLD - Configuration article sensible;SCO DIEBOLD - Configuration article sensible;Parametrage;Caisse libre service; ;Caisse libre service \ Parametrage;SCO DIEBOLD-FR;01 - Défaillance applicative; ;Support fiche KM correspondante.;P3;SYM1109; ;04/07/2024; ; ; ; ; ;SCO DIEBOLD-FR;Caisse libre service \ Parametrage;17791077; ; 
SCO DIEBOLD - Bouton cagnotte grisé ou absence de fidelité sur une caisse;SCO DIEBOLD - Bouton cagnotte grisé ou absence de fidelité sur une caisse;Parametrage;Caisse libre service; ;Caisse libre service \ Parametrage;SCO DIEBOLD-FR;01 - Défaillance applicative; ;Support fiche KM correspondante.;P3;SYM1110; ;04/07/2024; ; ; ; ; ;SCO DIEBOLD-FR;Caisse libre service \ Parametrage;3543676; ; 
SCO DIEBOLD - SCO Pb ouverture portillon des caisses LS , message;SCO DIEBOLD - SCO Pb ouverture portillon des caisses LS , message;Parametrage;Caisse libre service; ;Caisse libre service \ Parametrage;SCO DIEBOLD-FR;01 - Défaillance applicative; ;Support fiche KM correspondante.;P3;SYM1111; ;04/07/2024; ; ; ; ; ;SCO DIEBOLD-FR;Caisse libre service \ Parametrage;128057; ; 
SCO DIEBOLD - SCO Nettoyage du module billets iCash20 BNR V9;SCO DIEBOLD - SCO Nettoyage du module billets iCash20 BNR V9;Parametrage;Caisse libre service; ;Caisse libre service \ Parametrage;SCO DIEBOLD-FR;01 - Défaillance applicative; ;Support fiche KM correspondante.;P3;SYM1112; ;04/07/2024; ; ; ; ; ;SCO DIEBOLD-FR;Caisse libre service \ Parametrage;127541; ; 
SCO DIEBOLD - Une seule caisse bloquée sur Sa Command timeout Error;SCO DIEBOLD - Une seule caisse bloquée sur Sa Command timeout Error;Parametrage;Caisse libre service; ;Caisse libre service \ Parametrage;SCO DIEBOLD-FR;01 - Défaillance applicative; ;Support fiche KM correspondante.;P3;SYM1113; ;04/07/2024; ; ; ; ; ;SCO DIEBOLD-FR;Caisse libre service \ Parametrage;127500; ; 
SCO DIEBOLD - Message 'Initialisation échouée dans initialisation WaiterKeyLock';SCO DIEBOLD - Message 'Initialisation échouée dans initialisation WaiterKeyLock';Parametrage;Caisse libre service; ;Caisse libre service \ Parametrage;SCO DIEBOLD-FR;01 - Défaillance applicative; ;Support fiche KM correspondante.;P3;SYM1114; ;04/07/2024; ; ; ; ; ;SCO DIEBOLD-FR;Caisse libre service \ Parametrage;127473; ; 
SCO DIEBOLD - la caisse bloque sur attente demarrage partie caisse;SCO DIEBOLD - la caisse bloque sur attente demarrage partie caisse;Chargement en boucle;Caisse libre service;Ouverture;Caisse libre service \ Ouverture \ Chargement en boucle;SCO DIEBOLD-FR;01 - Défaillance applicative; ;Support fiche KM correspondante.;P3;SYM1115; ;04/07/2024; ; ; ; ; ;SCO DIEBOLD-FR;Caisse libre service \ Ouverture \ Chargement en boucle;127372; ; 
SCO DIEBOLD - Paramétrage des clés dallas;SCO DIEBOLD - Paramétrage des clés dallas;Parametrage;Caisse libre service; ;Caisse libre service \ Parametrage;SCO DIEBOLD-FR;01 - Défaillance applicative; ;Support fiche KM correspondante.;P3;SYM1116; ;04/07/2024; ; ; ; ; ;SCO DIEBOLD-FR;Caisse libre service \ Parametrage;126840; ; 
SCO DIEBOLD - Portillon indisponible;SCO DIEBOLD - Portillon indisponible;Parametrage;Caisse libre service; ;Caisse libre service \ Parametrage;SCO DIEBOLD-FR;01 - Défaillance applicative; ;Support fiche KM correspondante.;P3;SYM1117; ;04/07/2024; ; ; ; ; ;SCO DIEBOLD-FR;Caisse libre service \ Parametrage;127306; ; 
SCO DIEBOLD - Erreur imprimante;SCO DIEBOLD - Erreur imprimante;Imprimante ticket;Materiel;SCO;Materiel \ SCO \ Imprimante ticket;Materiel_SCO-FR;08 - Matériel défectueux; ;Deb/reb imp + vérification voyants;P3;SYM1118; ;01/08/2024; ; ; ; ; ;MATERIEL_SCO_NCR-FR;Materiel \ SCO \ Imprimante ticket;;FR IT SIAM N3 SCO WINCOR ODM; 
SCO NCR-FR : Problèmes techniques (installations);SCO NCR : Erreur DOMAINE;;;;;SCO NCR-FR;01 - Défaillance applicative;;"Suivre prodécure pour rajout caisse dans le domaine; Si KO => DI NCR MATERIEL";P3;SYM1119;;06/02/2025;;;;;;SCO NCR-FR;Caisse libre service \ Parametrage;;;
